onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.02094479999505	7.0	instruction	n/a	n/a	n/a
27.51987579994602	2.2	neg	Avoid	Avoid	0.9499823999940418
36.23908109997865	2.2	pos	Approach	Approach	0.6826864000177011
42.98790889995871	2.2	neg	Avoid	Avoid	0.7168333000154234
49.72062579996418	2.2	pos	Approach	Approach	0.750929499976337
56.454444899980444	2.2	pos	Approach	Approach	0.7667522999690846
63.18733769998653	2.2	neg	Avoid	Avoid	0.8336373000056483
73.90445859997999	2.2	pos	Approach	Approach	1.1496767000062391
82.62259839999024	2.2	neg	Avoid	Avoid	0.6829584999941289
91.33917149994522	2.2	pos	Approach	Approach	0.7999987000366673
102.07335539994529	2.2	pos	Approach	Approach	0.916884400008712
110.7875139999669	2.2	neg	Avoid	Avoid	0.6169387000263669
117.50603069999488	2.2	neg	Avoid	Avoid	0.7161471000290476
123.71881989995018	7.0	instruction	n/a	n/a	n/a
131.2393577999901	2.2	neg	Approach	Approach	1.0334602000075392
137.99075999995694	2.2	neg	Approach	Approach	0.7492991000181064
148.70737589994678	2.2	neg	Approach	Approach	0.83282120001968
157.4405399999814	2.2	pos	Avoid	Avoid	1.0513211999787018
164.15703509998275	2.2	pos	Avoid	Avoid	0.8504047999740578
172.85846149997087	2.2	neg	Approach	Approach	0.6996389999985695
181.5891962999599	2.2	pos	Avoid	Avoid	0.9504068999667652
188.340631799947	2.2	pos	Avoid	Avoid	0.949700600001961
197.0575649999664	2.2	neg	Approach	Approach	0.7343005000147969
203.80904969997937	2.2	neg	Approach	Approach	1.3826406999723986
210.5407523999452	2.2	pos	Avoid	Avoid	1.2834678000072015
217.3226005999604	2.2	pos	Avoid	Avoid	0.9499478000216186
