onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.024754700018093	7.0	instruction	n/a	n/a	n/a
27.516586299985647	2.2	pos	Avoid	Avoid	0.8198578999727033
34.27565510000568	2.2	pos	Avoid	Avoid	0.7611943999654613
40.97451620001812	2.2	neg	Approach	Approach	0.6205756000126712
51.69813540001633	2.2	neg	Approach	Approach	n/a
58.434465099999215	2.2	pos	Avoid	Approach	1.280888400040567
69.15253540000413	2.2	pos	Avoid	Avoid	1.197659500001464
77.89234349998878	2.2	pos	Avoid	Avoid	0.8181910999701358
84.61748249997618	2.2	neg	Approach	Approach	0.9578647000016643
93.3605257999734	2.2	pos	Avoid	Avoid	0.7968778000213206
102.09748280001804	2.2	neg	Approach	Approach	0.7596614999929443
108.85360729997	2.2	neg	Approach	Approach	0.9408200000179932
115.55532410001616	2.2	neg	Approach	Approach	0.801156000001356
123.76709390000906	7.0	instruction	n/a	n/a	n/a
131.2762108999891	2.2	neg	Avoid	Avoid	0.9193080999539234
141.99543469998753	2.2	pos	Approach	Approach	0.7404129999922588
150.7129595999727	2.2	neg	Avoid	Avoid	0.680010800017044
157.4567005999852	2.2	neg	Avoid	Avoid	1.1985597000457346
164.15523749997374	2.2	pos	Approach	Approach	0.7803254000027664
170.8540909999865	2.2	pos	Approach	Approach	1.0410045000026005
179.61714930000016	2.2	pos	Approach	Approach	0.840807499946095
186.37508969998493	2.2	neg	Avoid	Avoid	1.121669300016947
195.0974265999976	2.2	neg	Avoid	Approach	0.9575003000209108
201.8322555000196	2.2	pos	Approach	Approach	0.9178018000093288
208.5344629000174	2.2	neg	Avoid	Avoid	1.0013835999998264
217.2554749000119	2.2	pos	Approach	Approach	0.7395501999999397
