onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.039574100054324	7.0	instruction	n/a	n/a	n/a
27.5159822000428	2.2	neg	Avoid	Avoid	0.7188028999371454
38.27316950005479	2.2	neg	Avoid	Avoid	0.6999115000944585
46.99653600004967	2.2	pos	Approach	Approach	0.5986137000145391
53.70072680001567	2.2	pos	Approach	Approach	0.8179817999480292
64.45559330005199	2.2	pos	Approach	Approach	0.719794400036335
71.19336660008366	2.2	neg	Avoid	Avoid	0.8810215999837965
77.93519430002198	2.2	pos	Approach	Approach	0.6988029000349343
86.6374700000747	2.2	pos	Approach	Approach	0.6976928999647498
95.41384040005504	2.2	neg	Avoid	Avoid	0.701239199959673
104.1371194000826	2.2	pos	Approach	Approach	0.6399943999713287
110.8351417001104	2.2	neg	Avoid	Avoid	0.7000469999620691
117.53502030007076	2.2	neg	Avoid	Avoid	0.6397645000834018
123.78853910008912	7.0	instruction	n/a	n/a	n/a
131.29449820006266	2.2	neg	Approach	Approach	0.9596316000679508
138.05368350003846	2.2	neg	Approach	Approach	0.9194605000084266
146.77617300010752	2.2	pos	Avoid	Avoid	0.6398277999833226
153.4968729000543	2.2	pos	Avoid	Avoid	1.1964696999639273
160.21853560011368	2.2	neg	Approach	Approach	0.8782735000131652
170.95530950010289	2.2	neg	Approach	Approach	0.7209150999551639
179.69518280005968	2.2	pos	Avoid	Avoid	0.5804744999622926
190.4147985000164	2.2	neg	Approach	Approach	0.761665300000459
197.15475190000143	2.2	pos	Avoid	Avoid	0.820126400096342
205.875093300012	2.2	neg	Approach	Approach	0.7394620000850409
212.5950910000829	2.2	pos	Avoid	Avoid	0.7804854999994859
221.3357760000504	2.2	pos	Avoid	Avoid	0.6986568999709561
