onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.0347529000137	7.0	instruction	n/a	n/a	n/a
27.555628099944443	2.2	pos	Approach	Approach	0.9412310000043362
36.257024400052615	2.2	pos	Approach	Approach	0.7991285000462085
46.99600669997744	2.2	neg	Avoid	Avoid	0.8409719000337645
55.71746069996152	2.2	neg	Avoid	Avoid	1.7397036999464035
62.41530480002984	2.2	neg	Avoid	Avoid	1.100303000072017
69.13514939998277	2.2	pos	Approach	Approach	0.820666000014171
75.8980969999684	2.2	neg	Avoid	Avoid	0.7399014999391511
84.63645880005788	2.2	neg	Avoid	Avoid	0.8610098999924958
95.3369494000217	2.2	neg	Avoid	Avoid	1.0614224000601098
102.03757000004408	2.2	pos	Approach	Approach	0.879691299982369
108.77594930003396	2.2	pos	Approach	Approach	1.100162799935788
117.47911620000376	2.2	pos	Approach	Approach	0.9586772999027744
123.69197579997126	7.0	instruction	n/a	n/a	n/a
131.2367504000431	2.2	pos	Avoid	Avoid	1.339309100061655
138.0140454999637	2.2	neg	Approach	Approach	0.9985006999922916
148.7163800999988	2.2	neg	Approach	Approach	1.341159600066021
155.45632530003786	2.2	pos	Avoid	Avoid	0.7408064999617636
162.15697939996608	2.2	neg	Approach	Approach	1.7394229000201449
168.87696080002934	2.2	pos	Avoid	Avoid	0.8602082999423146
177.59619059995748	2.2	pos	Avoid	Avoid	1.1608839000109583
186.3160245999461	2.2	neg	Approach	Approach	1.3415707000531256
193.0559568000026	2.2	neg	Approach	Approach	1.08023559988942
201.7778868000023	2.2	pos	Avoid	Avoid	1.0775599000044167
208.49749430001248	2.2	pos	Avoid	Avoid	0.919139500008896
219.20090940000955	2.2	neg	Approach	Approach	1.7586354999803009
