onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.01766170001065	7.0	instruction	n/a	n/a	n/a
27.56245310000668	2.2	pos	Approach	Approach	0.9812927000020863
36.29431380001188	2.2	neg	Avoid	Avoid	0.932079899997916
43.024811100010766	2.2	neg	Avoid	Avoid	0.8390581999992719
49.76162250000925	2.2	neg	Avoid	Avoid	1.0214456000103382
58.484574700007215	2.2	pos	Approach	Approach	0.9010018999979366
69.18520180000633	2.2	pos	Approach	Approach	1.5395273000031011
75.90290919999825	2.2	neg	Avoid	Avoid	0.6199812999984715
82.6226558000053	2.2	pos	Approach	Approach	0.8809575000050245
89.36313490000612	2.2	neg	Avoid	Avoid	1.2012230999971507
100.10342270000548	2.2	pos	Approach	Approach	1.2610925000044515
108.82594799999788	2.2	neg	Avoid	Avoid	0.9988624999969034
117.5617906000116	2.2	pos	Approach	Approach	1.0795352999994066
123.78297480000764	7.0	instruction	n/a	n/a	n/a
131.32268599999952	2.2	pos	Avoid	Avoid	1.4008424000057855
138.04267070000037	2.2	pos	Avoid	Avoid	1.081192400000873
144.76403740000387	2.2	neg	Approach	Approach	1.0597771999891847
153.4823011999979	2.2	pos	Avoid	Avoid	0.8004746999940835
162.22298140000203	2.2	neg	Approach	Approach	1.0600494000100298
172.96423009999853	2.2	pos	Avoid	Avoid	0.7812393000058364
179.70341030000418	2.2	neg	Approach	Avoid	n/a
186.44183850000263	2.2	pos	Avoid	Approach	0.6812643000012031
195.14538860000928	2.2	neg	Approach	Approach	1.459946500006481
201.88461249999816	2.2	neg	Approach	Avoid	0.9599612999882084
208.60188919999928	2.2	pos	Avoid	Approach	1.1801838999963363
219.3236653000056	2.2	neg	Approach	Avoid	1.2404897000087658
