onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.040294199992783	7.0	instruction	n/a	n/a	n/a
27.515424500001245	2.2	neg	Avoid	Avoid	0.7608342000021366
34.26171419999446	2.2	neg	Avoid	Avoid	0.7777403999934904
40.95898850000231	2.2	pos	Approach	Approach	0.6177592000021832
47.69916669999657	2.2	pos	Approach	Approach	0.9611769999901298
56.43524869999965	2.2	neg	Avoid	Avoid	0.6211577999929432
63.1552415000042	2.2	pos	Approach	Approach	0.7794164999941131
69.91653630000656	2.2	neg	Avoid	Avoid	0.7193325999978697
80.65882460000284	2.2	pos	Approach	Approach	0.7779623000096763
89.40284120000433	2.2	pos	Approach	Approach	1.036021099993377
100.1350464999996	2.2	neg	Avoid	Avoid	0.7809981000027619
108.8567766000051	2.2	pos	Approach	Approach	0.9810227999987546
115.5763231000019	2.2	neg	Avoid	Avoid	1.1813040999986697
123.79042790000676	7.0	instruction	n/a	n/a	n/a
131.29922509999597	2.2	pos	Avoid	Avoid	1.2766674000013154
137.99445189999824	2.2	pos	Avoid	Avoid	1.6197191000101157
144.70027309999568	2.2	neg	Approach	Approach	0.6157635999988997
153.45501039999365	2.2	neg	Approach	Avoid	0.9412666999996872
160.1553189999977	2.2	pos	Avoid	Avoid	0.8014398999948753
168.8785479000071	2.2	pos	Avoid	Avoid	1.1593932999967365
179.63820359999954	2.2	pos	Avoid	Avoid	0.8381238000001758
188.37957859999733	2.2	neg	Approach	Approach	0.861173700002837
197.09760510000345	2.2	neg	Approach	Approach	1.1982169999973848
207.8367575000011	2.2	neg	Approach	Approach	0.960078899996006
214.5551033999945	2.2	pos	Avoid	Avoid	0.6995074000005843
221.2758802000027	2.2	neg	Approach	Approach	0.781073699996341
