onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.01967660000082	7.0	instruction	n/a	n/a	n/a
27.52551140000287	2.2	pos	Avoid	Avoid	0.9198249000037322
34.225145100004625	2.2	pos	Avoid	Avoid	0.8202177999919513
42.925483600003645	2.2	neg	Approach	Approach	0.6598380999930669
49.62519859999884	2.2	neg	Approach	Approach	0.7996184999938123
56.32533449999744	2.2	neg	Approach	Approach	0.85982719999447
65.04560040000058	2.2	pos	Avoid	Avoid	0.8200379000045359
71.76555750000978	2.2	pos	Avoid	Avoid	0.7401286999956938
82.44544750000921	2.2	pos	Avoid	Avoid	0.8404482999903848
91.14568660000803	2.2	neg	Approach	Approach	1.1003990000026531
97.84535889999802	2.2	neg	Approach	Approach	0.8800238999974681
106.54536480001104	2.2	neg	Approach	Approach	0.6999994999932824
117.2456452000041	2.2	pos	Avoid	Avoid	0.7999354999919888
123.4487388999986	7.0	instruction	n/a	n/a	n/a
130.96555340000475	2.2	neg	Avoid	Avoid	0.7600938000105089
137.66588529999706	2.2	pos	Approach	Approach	0.6399740999913774
144.36526380000566	2.2	pos	Approach	Avoid	1.1201270999881672
153.06525870000758	2.2	neg	Avoid	Avoid	0.9205001999944216
161.7659318000077	2.2	neg	Avoid	Approach	1.180929100009962
170.4657530999974	2.2	neg	Avoid	Avoid	0.7397470000141766
177.16571139999712	2.2	pos	Approach	Avoid	0.8407359999982873
183.86554500000773	2.2	neg	Avoid	Avoid	0.9414819000085116
190.5656102000065	2.2	pos	Approach	Approach	0.9800008000020172
199.2658331999991	2.2	neg	Avoid	Avoid	0.9197784999996657
209.9653535000104	2.2	pos	Approach	Approach	1.1599814999935916
216.66537480000977	2.2	pos	Approach	Approach	0.8200892000022577
