onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.029603899922225	7.0	instruction	n/a	n/a	n/a
27.53228960000024	2.2	pos	Avoid	Avoid	0.9823857999872416
38.274922499898366	2.2	pos	Avoid	Avoid	1.828057300066576
45.0041857000906	2.2	neg	Approach	Approach	1.363849800080061
51.74853660003282	2.2	neg	Approach	Approach	0.9680886999703944
58.46851209993474	2.2	pos	Avoid	Avoid	0.8979641001205891
67.21192899998277	2.2	neg	Approach	Approach	1.0567882000468671
77.95438480004668	2.2	neg	Approach	Approach	0.9116515000350772
86.68849770002998	2.2	pos	Avoid	Avoid	1.0618099998682735
93.41424610000104	2.2	pos	Avoid	Avoid	1.704991800012067
100.13368059997448	2.2	neg	Approach	Approach	1.2666944998782128
106.87128449999727	2.2	pos	Avoid	Avoid	1.4148772999178618
115.58827760000712	2.2	neg	Approach	Approach	1.061507900012657
123.813986599911	7.0	instruction	n/a	n/a	n/a
131.31209810008295	2.2	pos	Approach	Approach	1.2729569000657648
138.05327549995854	2.2	pos	Approach	Approach	1.0679208000656215
146.77774669998325	2.2	neg	Avoid	Avoid	0.7232892999891192
153.52900639991276	2.2	pos	Approach	Approach	1.0053017002064737
162.2633124999702	2.2	neg	Avoid	Avoid	1.1727406000718474
171.00476250005886	2.2	neg	Avoid	Avoid	0.8000908000394702
181.740079900017	2.2	pos	Approach	Approach	1.7278990999329835
188.4589185998775	2.2	neg	Avoid	Avoid	0.7940110000781715
197.1861765999347	2.2	neg	Avoid	Avoid	0.7854844001121819
203.9020545000676	2.2	pos	Approach	Approach	1.1324905001092702
214.62352979998104	2.2	neg	Avoid	Avoid	0.9137705999892204
221.35251839994453	2.2	pos	Approach	Approach	1.9355983999557795
