onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.035780799999884	7.0	instruction	n/a	n/a	n/a
27.548363099999733	2.2	pos	Avoid	Avoid	0.9261452999999163
38.24973640000008	2.2	pos	Avoid	Avoid	0.7081096000001708
44.96334130000014	2.2	neg	Approach	Approach	1.0600926999995863
51.69329850000031	2.2	neg	Approach	Avoid	1.5672833999997238
58.41669000000002	2.2	pos	Avoid	Avoid	1.157628800000566
67.14681079999991	2.2	neg	Approach	Avoid	0.926227099999778
77.85166130000016	2.2	neg	Approach	Avoid	1.8081687000003512
86.56978350000009	2.2	pos	Avoid	Avoid	1.5608628999998473
93.30670000000008	2.2	pos	Avoid	Avoid	1.1344508000001952
100.04118879999989	2.2	neg	Approach	Avoid	1.2181362999999692
106.7879737000003	2.2	pos	Avoid	Avoid	0.9747077000001808
115.51720440000008	2.2	neg	Approach	Approach	1.0088064000001395
123.73995980000018	7.0	instruction	n/a	n/a	n/a
131.26861929999995	2.2	pos	Approach	Approach	1.674428500000431
137.9803566999999	2.2	pos	Approach	Approach	1.1281968000002962
146.73145159999967	2.2	neg	Avoid	Avoid	1.3120122999998785
153.48360890000004	2.2	pos	Approach	Approach	0.8628618000002461
162.18945040000017	2.2	neg	Avoid	Avoid	1.0156395999993038
170.9191810000002	2.2	neg	Avoid	Avoid	0.7737320000005639
181.64795239999967	2.2	pos	Approach	Approach	0.8486944000005678
188.38611990000027	2.2	neg	Avoid	Avoid	0.7738008999995145
197.0943444000004	2.2	neg	Avoid	Avoid	0.963576799999828
203.8407023	2.2	pos	Approach	Approach	0.7078253999998196
214.5737465000002	2.2	neg	Avoid	Avoid	0.7203509999999369
221.2958147999998	2.2	pos	Approach	Approach	0.7340789999998378
