onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.03557949978904	7.0	instruction	n/a	n/a	n/a
27.51999450009316	2.2	pos	Avoid	Avoid	0.8791039003990591
38.262067299801856	2.2	pos	Avoid	Avoid	0.6777316001243889
45.0028152000159	2.2	neg	Approach	Approach	0.7979832999408245
51.7577424999331	2.2	neg	Approach	Approach	0.8409298001788557
58.48609540006146	2.2	pos	Avoid	Avoid	0.6946434997953475
67.22007100004703	2.2	neg	Approach	Avoid	0.9395300000905992
77.96090679988265	2.2	neg	Approach	Approach	0.5609568003565073
86.70205480000004	2.2	pos	Avoid	Avoid	0.799832500051707
93.41919129993768	2.2	pos	Avoid	Avoid	0.7793612997047603
100.1428892998956	2.2	neg	Approach	Approach	0.7581750997342169
106.88177980016916	2.2	pos	Avoid	Avoid	0.8389753000810742
115.6185944997701	2.2	neg	Approach	Approach	0.7211595997214317
123.8337628999725	7.0	instruction	n/a	n/a	n/a
131.36042340006634	2.2	pos	Approach	Approach	0.7609059000387788
138.07826260011643	2.2	pos	Approach	Approach	0.6811168002896011
146.82095120009035	2.2	neg	Avoid	Avoid	0.8983730999752879
153.53897889982954	2.2	pos	Approach	Approach	0.9004100002348423
162.28456339985132	2.2	neg	Avoid	Avoid	0.7163624996319413
171.00263029988855	2.2	neg	Avoid	Avoid	1.0582729000598192
181.7328273998573	2.2	pos	Approach	Approach	0.7289959997870028
188.4402140001771	2.2	neg	Avoid	Avoid	1.0795384999364614
197.1803778000176	2.2	neg	Avoid	Avoid	0.7403329000808299
203.8987859999761	2.2	pos	Approach	Approach	0.7593729998916388
214.61918220017105	2.2	neg	Avoid	Avoid	0.7597617004066706
221.34261539997533	2.2	pos	Approach	Approach	0.7394010000862181
