onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.0237806000514	7.0	instruction	n/a	n/a	n/a
27.563496900023893	2.2	pos	Approach	Approach	0.7011909999419004
34.26687440008391	2.2	pos	Approach	Approach	0.7810240000253543
42.99942080001347	2.2	neg	Avoid	Avoid	0.7815891000209376
49.71645310008898	2.2	pos	Approach	Approach	0.6507953000254929
58.45985730004031	2.2	neg	Avoid	Avoid	0.7053914000280201
67.18185310007539	2.2	neg	Avoid	Avoid	0.882570399902761
77.88899880007375	2.2	pos	Approach	Approach	0.9790996999945492
84.62057310005184	2.2	neg	Avoid	Approach	1.230199900106527
93.33577770006376	2.2	neg	Avoid	Avoid	0.7495739000150934
100.05335180007388	2.2	pos	Approach	Approach	0.7461714999517426
110.7995565000458	2.2	neg	Avoid	Avoid	0.7494012999814004
117.50057660008316	2.2	pos	Approach	Approach	0.7350224999245256
123.72946659999434	7.0	instruction	n/a	n/a	n/a
131.24241529998835	2.2	pos	Avoid	Avoid	0.6556855000089854
141.9828819000395	2.2	pos	Avoid	Avoid	0.7174697999143973
148.71022960008122	2.2	neg	Approach	Approach	0.8567905999952927
155.4358050000155	2.2	neg	Approach	Approach	0.7480836000759155
162.15196170005947	2.2	pos	Avoid	Avoid	0.6697693000314757
170.8719341000542	2.2	neg	Approach	Approach	1.0633783000521362
181.5815028999932	2.2	neg	Approach	Approach	0.8709599000867456
190.31486180005595	2.2	pos	Avoid	Avoid	0.6362075000070035
197.0407403000864	2.2	pos	Avoid	Avoid	0.7915365999797359
203.7433522000208	2.2	neg	Approach	Approach	0.7291315000038594
210.47876130009536	2.2	pos	Avoid	Avoid	0.6061178999952972
219.2129098000005	2.2	neg	Approach	Approach	0.8756085999775678
