onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.03336280000076	7.0	instruction	n/a	n/a	n/a
27.55136550000043	2.2	neg	Avoid	Avoid	0.771111000000019
36.27283520000037	2.2	pos	Approach	Approach	0.8473845999997138
42.99816810000084	2.2	neg	Avoid	Avoid	0.6264025999998921
49.74210220000077	2.2	pos	Approach	Approach	0.7491150999994716
56.46160340000051	2.2	pos	Approach	Approach	0.8294287999997323
63.19767000000047	2.2	neg	Avoid	Avoid	0.6418297000000166
73.92473570000038	2.2	pos	Approach	Approach	0.749175799999648
82.65065649999997	2.2	neg	Avoid	Avoid	0.7363886000002822
91.37969020000035	2.2	pos	Approach	Approach	0.8280992999998489
102.12030450000044	2.2	pos	Approach	Approach	0.8517222999998921
110.85886050000045	2.2	neg	Avoid	Avoid	0.7927884999999151
117.59217090000038	2.2	neg	Avoid	Avoid	0.7331795000000056
123.81322030000048	7.0	instruction	n/a	n/a	n/a
131.33009570000036	2.2	neg	Approach	Approach	0.8619448999997985
138.03256050000095	2.2	neg	Approach	Avoid	0.8701627999998891
148.7770490000005	2.2	neg	Approach	Approach	0.7767673999996987
157.50268940000046	2.2	pos	Avoid	Avoid	0.7508077000002231
164.23708330000045	2.2	pos	Avoid	Avoid	0.9150611000004574
172.9587423000005	2.2	neg	Approach	Avoid	0.9798011000002588
181.66414950000035	2.2	pos	Avoid	Avoid	0.6908413999999539
188.38551890000053	2.2	pos	Avoid	Avoid	0.769086199999947
197.1200336000004	2.2	neg	Approach	Approach	0.7353954999998678
203.8225219000005	2.2	neg	Approach	Approach	0.864045299999816
210.5638181000004	2.2	pos	Avoid	Avoid	0.8099641000001156
217.27984470000047	2.2	pos	Avoid	Avoid	0.8273325999998633
