onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.028563299914595	7.0	instruction	n/a	n/a	n/a
27.53872730000876	2.2	neg	Approach	Approach	0.9497806001454592
34.28667279984802	2.2	neg	Approach	Approach	0.5678749000653625
45.01393229980022	2.2	neg	Approach	Approach	0.6776240998879075
53.75534629984759	2.2	pos	Avoid	Avoid	0.6855397999752313
60.46170759992674	2.2	pos	Avoid	Avoid	0.7951418000739068
69.20266840001568	2.2	neg	Approach	Approach	0.7339962001424283
77.93427819991484	2.2	pos	Avoid	Avoid	0.7412407000083476
84.65835049981251	2.2	pos	Avoid	Avoid	0.678485699929297
93.3895388999954	2.2	neg	Approach	Approach	0.8320206999778748
100.15010839980118	2.2	neg	Approach	Approach	0.9563253000378608
106.89232649980111	2.2	pos	Avoid	Avoid	0.7009422001428902
113.61196699994616	2.2	pos	Avoid	Avoid	0.7796928000170738
123.82434839988127	7.0	instruction	n/a	n/a	n/a
131.34102729987353	2.2	neg	Avoid	Avoid	0.7156943001318723
140.06431369995698	2.2	pos	Approach	Approach	0.709084200207144
146.8164279998748	2.2	neg	Avoid	Avoid	1.1771361997816712
153.52608829992823	2.2	pos	Approach	Approach	1.2966609001159668
160.24122669990197	2.2	pos	Approach	Approach	0.6508641000837088
166.97187629994005	2.2	neg	Avoid	Avoid	0.6026332001201808
177.70045399991795	2.2	pos	Approach	Approach	0.7436741997953504
186.4338224998212	2.2	neg	Avoid	Avoid	0.6722031999379396
195.1617805999704	2.2	pos	Approach	Approach	0.7623423999175429
205.8966470998712	2.2	pos	Approach	Approach	1.947842099936679
214.6091540998316	2.2	neg	Avoid	Avoid	0.9635496998671442
221.3399119998794	2.2	neg	Avoid	Avoid	0.786814299877733
